"percent alive","months","group"
99.689,3,"AL"
97.516,6.438,"AL"
95.652,9.438,"AL"
93.789,13.812,"AL"
91.304,18.375,"AL"
89.752,20.062,"AL"
87.578,21.875,"AL"
85.87,22.188,"AL"
83.696,22.375,"AL"
81.677,24,"AL"
79.814,24.062,"AL"
77.484,24.25,"AL"
75.466,24.812,"AL"
73.292,24.812,"AL"
71.273,25.062,"AL"
69.255,25.812,"AL"
67.236,26.25,"AL"
65.373,26.625,"AL"
63.509,26.5,"AL"
60.87,26.875,"AL"
59.161,27.188,"AL"
57.298,27.438,"AL"
55.124,27.562,"AL"
52.795,28.188,"AL"
50.776,28.438,"AL"
48.758,28.75,"AL"
46.584,28.812,"AL"
44.565,28.812,"AL"
42.547,29.312,"AL"
40.683,29.75,"AL"
38.509,29.75,"AL"
36.335,29.875,"AL"
34.472,30.125,"AL"
32.453,30.25,"AL"
30.59,30.5,"AL"
28.416,30.688,"AL"
26.553,31.125,"AL"
24.534,31.188,"AL"
22.205,31.312,"AL"
20.186,31.375,"AL"
18.168,31.562,"AL"
16.149,31.812,"AL"
13.975,32.062,"AL"
11.957,32.375,"AL"
10.248,32.812,"AL"
7.919,33.688,"AL"
5.745,34.562,"AL"
3.882,34.625,"AL"
1.863,35.438,"AL"
0,35.5,"AL"
99.793,3,"25%CR"
97.773,17.688,"25%CR"
96.071,19.312,"25%CR"
94.369,19.688,"25%CR"
92.667,21.875,"25%CR"
90.965,22.188,"25%CR"
89.263,25.75,"25%CR"
87.372,28.062,"25%CR"
85.859,28.875,"25%CR"
84.157,29.312,"25%CR"
82.266,29.438,"25%CR"
80.564,29.688,"25%CR"
78.862,30.188,"25%CR"
77.349,30.312,"25%CR"
75.268,31.062,"25%CR"
73.377,31.375,"25%CR"
71.486,31.375,"25%CR"
69.973,31.438,"25%CR"
68.46,31.5,"25%CR"
66.569,31.562,"25%CR"
64.678,31.625,"25%CR"
63.165,31.625,"25%CR"
61.274,31.688,"25%CR"
59.761,32.375,"25%CR"
57.681,32.5,"25%CR"
55.978,32.5,"25%CR"
54.276,33,"25%CR"
52.484,33,"25%CR"
50.621,33.125,"25%CR"
48.913,33.125,"25%CR"
47.205,33.312,"25%CR"
45.186,33.375,"25%CR"
43.634,33.5,"25%CR"
41.925,33.875,"25%CR"
40.373,34.062,"25%CR"
38.043,34.188,"25%CR"
36.335,34.25,"25%CR"
35.093,34.812,"25%CR"
33.23,35.25,"25%CR"
31.522,35.5,"25%CR"
29.503,35.625,"25%CR"
27.95,35.625,"25%CR"
26.087,36.125,"25%CR"
24.068,36.25,"25%CR"
22.671,36.5,"25%CR"
21.118,36.625,"25%CR"
19.099,36.625,"25%CR"
17.236,36.688,"25%CR"
15.839,37,"25%CR"
14.286,37.188,"25%CR"
12.422,37.375,"25%CR"
10.404,37.438,"25%CR"
8.696,38.375,"25%CR"
7.143,38.5,"25%CR"
5.59,38.625,"25%CR"
3.727,39.438,"25%CR"
1.708,40.125,"25%CR"
0,42.125,"25%CR"
100,3.042,"56%CR"
98.747,17.795,"56%CR"
96.881,22.129,"56%CR"
95.481,24.664,"56%CR"
94.082,24.976,"56%CR"
92.838,25.6,"56%CR"
91.594,29.846,"56%CR"
90.194,30.97,"56%CR"
88.484,31.22,"56%CR"
87.24,31.719,"56%CR"
86.462,32.656,"56%CR"
84.751,32.718,"56%CR"
83.196,34.467,"56%CR"
81.486,35.153,"56%CR"
80.242,35.466,"56%CR"
78.842,35.528,"56%CR"
77.909,37.151,"56%CR"
76.199,37.464,"56%CR"
74.488,37.713,"56%CR"
73.399,38.275,"56%CR"
72,38.588,"56%CR"
70.6,38.962,"56%CR"
69.045,39.025,"56%CR"
67.801,39.025,"56%CR"
65.935,39.587,"56%CR"
64.847,39.649,"56%CR"
63.291,39.774,"56%CR"
61.892,39.899,"56%CR"
60.648,40.149,"56%CR"
59.093,41.585,"56%CR"
57.071,41.46,"56%CR"
55.827,41.647,"56%CR"
54.583,41.834,"56%CR"
53.495,41.897,"56%CR"
52.095,43.77,"56%CR"
50.54,43.832,"56%CR"
49.14,44.582,"56%CR"
47.274,45.081,"56%CR"
45.875,45.456,"56%CR"
44.631,45.706,"56%CR"
43.542,46.392,"56%CR"
42.142,46.58,"56%CR"
40.432,46.83,"56%CR"
39.188,47.079,"56%CR"
37.633,47.204,"56%CR"
35.974,47.454,"56%CR"
34.834,47.516,"56%CR"
33.486,47.641,"56%CR"
32.034,47.766,"56%CR"
30.479,48.167,"56%CR"
29.339,48.203,"56%CR"
27.68,48.151,"56%CR"
26.436,48.37,"56%CR"
24.881,48.578,"56%CR"
23.559,48.765,"56%CR"
20.993,49.202,"56%CR"
17.65,49.202,"56%CR"
16.328,49.201,"56%CR"
15.084,49.327,"56%CR"
13.84,49.265,"56%CR"
12.285,49.452,"56%CR"
10.886,50.014,"56%CR"
9.797,50.179,"56%CR"
8.009,50.576,"56%CR"
6.376,50.616,"56%CR"
4.821,51.067,"56%CR"
3.421,51.324,"56%CR"
2.333,51.255,"56%CR"
0.778,51.635,"56%CR"
0,52.167,"56%CR"
99.845,3.003,"65%CR"
98.447,19.562,"65%CR"
96.429,29.438,"65%CR"
94.876,31.062,"65%CR"
93.323,34.125,"65%CR"
92.081,36.438,"65%CR"
90.373,36.688,"65%CR"
88.82,36.938,"65%CR"
86.957,37.312,"65%CR"
85.093,38.938,"65%CR"
83.23,40.125,"65%CR"
81.832,40.438,"65%CR"
80.28,40.812,"65%CR"
78.727,41.688,"65%CR"
77.174,42.312,"65%CR"
75.311,42.312,"65%CR"
73.447,42.375,"65%CR"
72.05,42.625,"65%CR"
70.342,42.812,"65%CR"
68.634,42.75,"65%CR"
67.236,43.188,"65%CR"
65.528,43.438,"65%CR"
63.82,43.375,"65%CR"
61.957,43.688,"65%CR"
60.404,43.75,"65%CR"
58.851,43.875,"65%CR"
56.832,43.812,"65%CR"
55.28,43.875,"65%CR"
53.727,44.188,"65%CR"
52.019,45.688,"65%CR"
50.311,46.312,"65%CR"
49.068,46.5,"65%CR"
47.671,47.5,"65%CR"
45.807,47.562,"65%CR"
44.255,47.562,"65%CR"
42.702,47.625,"65%CR"
41.149,47.625,"65%CR"
39.752,47.688,"65%CR"
37.888,47.625,"65%CR"
36.18,47.812,"65%CR"
34.783,47.938,"65%CR"
32.919,48.062,"65%CR"
31.522,48.438,"65%CR"
29.348,48.688,"65%CR"
27.64,49.875,"65%CR"
25.621,50.25,"65%CR"
23.913,50.438,"65%CR"
22.36,50.812,"65%CR"
20.497,51.125,"65%CR"
18.944,51.25,"65%CR"
17.184,51.438,"65%CR"
15.528,51.875,"65%CR"
13.768,52,"65%CR"
11.905,52.375,"65%CR"
10.455,52.438,"65%CR"
8.489,52.5,"65%CR"
6.729,52.562,"65%CR"
4.969,53.188,"65%CR"
3.209,53.25,"65%CR"
1.449,53.312,"65%CR"
0.518,54.688,"65%CR"
